"bronze age, 4000 BC to 2500 BC"
"bronze age, 2500 BC to 1200 BC"
"iron age, 1200 BC to 600 BC"
"classical age, 600 BC to 500 AD"
"500 AD to 1000 AD, dark ages, early medieval"
"1000 AD to 1300 AD, middle ages, medieval"
"1300 AD to 1500 AD, late middle ages"
"early 16th century, early 1500s"
"late 16th century, late 1500s"
"early 17th century, early 1600s"
"late 17th century, late 1600s"
"early 18th century, early 1700s"
"late 18th century, late 1700s"
"early 19th century, 1800s"
"early 19th century, 1820s to 1830s"
"mid 19th century, 1840s to 1850s"
"mid 19th century, 1860s to 1870s"
the 1880s
the 1890s
the 1900s
the 1910s
the 1920s
the 1930s
the 1940s
the 1950s
the 1960s
the 1970s
the 1980s
the 1990s
the 2000s
the 2010s
the 2020s
the year 2025
the year 2030
the year 2050
the year 2100
the year 2500
the year 3000
